frontdoor: 2018-11-13 23:21:58
2018-11-17 10:20:37: flurdoor opened
2018-11-17 10:20:43: flurdoor closed
2018-11-17 11:18:50: flurdoor opened
2018-11-17 11:18:58: flurdoor closed
2018-11-17 11:21:30: flurdoor opened
2018-11-17 11:21:36: flurdoor closed
2018-11-17 11:21:36: frontdoor opened
2018-11-17 11:21:41: frontdoor closed
2018-11-17 11:52:51: flurdoor opened
2018-11-17 11:52:53: frontdoor opened
2018-11-17 11:53:07: frontdoor closed
2018-11-17 11:53:14: flurdoor closed
2018-11-17 11:57:00: flurdoor opened
2018-11-17 11:57:03: frontdoor opened
2018-11-17 11:58:50: frontdoor closed
2018-11-17 11:58:57: flurdoor closed
2018-11-17 12:12:25: flurdoor opened
2018-11-17 12:12:38: flurdoor closed
2018-11-17 12:17:49: flurdoor opened
2018-11-17 12:17:54: flurdoor closed
2018-11-17 12:17:56: frontdoor opened
2018-11-17 12:20:39: frontdoor closed
2018-11-17 12:20:40: flurdoor opened
2018-11-17 12:20:44: flurdoor closed
2018-11-17 13:44:46: flurdoor opened
2018-11-17 13:44:48: frontdoor opened
2018-11-17 13:45:14: frontdoor closed
2018-11-17 13:45:19: flurdoor closed
2018-11-17 13:50:19: flurdoor opened
2018-11-17 13:50:22: frontdoor opened
2018-11-17 13:51:24: frontdoor closed
2018-11-17 13:51:28: flurdoor closed
2018-11-17 14:10:24: flurdoor opened
2018-11-17 14:10:29: frontdoor opened
2018-11-17 14:10:49: frontdoor closed
2018-11-17 14:11:01: flurdoor closed
2018-11-17 14:14:07: flurdoor opened
2018-11-17 14:14:17: frontdoor opened
2018-11-17 14:14:26: flurdoor closed
2018-11-17 14:14:56: frontdoor closed
2018-11-17 14:18:23: frontdoor opened
2018-11-17 14:18:25: flurdoor opened
2018-11-17 14:18:37: flurdoor closed
2018-11-17 14:18:41: frontdoor closed
2018-11-17 14:18:51: frontdoor opened
2018-11-17 14:18:54: flurdoor opened
2018-11-17 14:18:58: flurdoor closed
2018-11-17 14:20:17: flurdoor opened
2018-11-17 14:20:20: flurdoor closed
2018-11-17 14:20:24: frontdoor closed
2018-11-17 16:42:59: frontdoor opened
2018-11-17 16:43:01: flurdoor opened
2018-11-17 16:44:59: frontdoor closed
2018-11-17 16:45:04: flurdoor closed
2018-11-17 18:54:04: flurdoor opened
2018-11-17 18:54:08: flurdoor closed
2018-11-17 18:54:09: frontdoor opened
2018-11-17 18:55:22: frontdoor closed
2018-11-17 18:55:22: flurdoor opened
2018-11-17 18:55:27: flurdoor closed
2018-11-18 09:10:19: flurdoor opened
2018-11-18 09:10:25: frontdoor opened
2018-11-18 09:10:40: flurdoor closed
2018-11-18 09:10:52: frontdoor closed
2018-11-18 11:50:44: frontdoor opened
2018-11-18 11:50:47: flurdoor opened
2018-11-18 11:51:32: frontdoor closed
2018-11-18 11:51:39: flurdoor closed
2018-11-18 11:55:17: flurdoor opened
2018-11-18 11:55:25: flurdoor closed
2018-11-18 11:55:28: frontdoor opened
2018-11-18 11:56:14: flurdoor opened
2018-11-18 11:56:38: flurdoor closed
2018-11-18 11:59:27: flurdoor opened
2018-11-18 12:01:24: flurdoor closed
2018-11-18 12:02:10: flurdoor opened
2018-11-18 12:02:54: flurdoor closed
2018-11-18 12:03:03: flurdoor opened
2018-11-18 12:03:45: flurdoor closed
2018-11-18 12:03:50: frontdoor closed
2018-11-18 13:44:54: frontdoor opened
2018-11-18 13:44:57: flurdoor opened
2018-11-18 13:45:11: frontdoor closed
2018-11-18 13:45:17: flurdoor closed
2018-11-18 14:30:07: flurdoor opened
2018-11-18 14:30:16: flurdoor closed
2018-11-19 06:42:46: flurdoor opened
2018-11-19 06:42:52: flurdoor closed
2018-11-19 06:42:53: frontdoor opened
2018-11-19 06:42:59: frontdoor closed
2018-11-19 07:13:41: flurdoor opened
2018-11-19 07:13:46: flurdoor closed
2018-11-19 07:13:46: frontdoor opened
2018-11-19 07:13:53: frontdoor closed
